First Name,Second Name,Company,Position,Description,Tags
Ian,Smith,GSMA,IoT Security Lead,"Ian is a technologist working for the GSMA, which represents the interests of mobile operators worldwide, uniting nearly 800 operators with more than 300 companies in the broader mobile ecosystem, and produces industry-leading events such as Mobile World Congress in Barcelona.
Ian is currently leading the GSMA’s IoT Security project which has recently published a comprehensive set of IoT Security Guidelines. Prior to this Ian led the delivery of the GSMA IoT Connection Efficiency Guidelines and the GSMA Embedded SIM Specifications.
Before joining the GSMA, Ian has held senior technical positions within network operators including Hutchison and Orange where he oversaw the design and development of the first commercial 3G handsets and SIM cards.
Ian holds a B.Eng. with joint honours in Electronic Engineering and Computer Science from Aston University, UK.",
Jeanine,Vos,GSMA,Head of SDG Accelerator - Big Data for Social Good,,Tech in Society
John,Guisti,GSMA,Chief Regulatory Officer,,The Fourth Industrial Revolution
Laxmi,Akkaraju,GSMA,Chief Strategy Officer,"As Chief Strategy Officer, Laxmi Akkaraju works with the GSMA’s membership in defining global strategies and initiatives that will offer collective benefit for mobile operators and the wider mobile industry.

Laxmi brings more than 20 years of experience in the international IT industry. Most recently she was Senior Vice President, Global Delivery at EVRY, a leading IT company providing business-critical solutions to enterprises and public sector organisations. Before this, Laxmi was Director of Operations and Professional Services for Mu Dynamics, a network security solutions provider for Fortune 500 clients. She also held positions in consulting and management training at HolteConsulting.",
Mats,Granryd,GSMA,Director General,"Mats Granryd is Director General of the GSMA and a Member of its Board. In this role, he leads the GSMA in supporting its global membership through a range of industry programmes, advocacy initiatives and industry-convening events. 
Mats is a strong proponent of sustainability and led the mobile industry in becoming the first sector to broadly commit to the United Nations Sustainable Development Goals (SDGs) in 2016. He is now spearheading initiatives to amplify and accelerate the mobile industry’s impact on all 17 of the SDGs, across both developed and developing markets.  
Mats serves on the Broadband Commission for Sustainable Development, which is focused on leveraging ICT and broadband-based technologies for sustainable development. Within the Commission, he chairs the Working Group on Digital Gender Divide to address the digital gender divide and foster the equal inclusion of women and girls in broadband access and use. Mats is also a Commissioner on the Business & Sustainable Development Commission, working with CEOs across many industries to make a powerful business case for achieving a sustainable, inclusive economy.
Mats brings to the GSMA a wealth of experience and a proven track record of success in the highly dynamic mobile industry. Prior to joining the GSMA in 2016, Mats was President and CEO of Tele2, one of Europe’s fastest-growing telecom operators with more than 16 million customers across nine countries. 
Previously, he spent 15 years in a variety of roles at Ericsson, most recently as Head of Northern Europe and Central Asia. While at Ericsson, he also led the North West Europe, India, CDMA and North Africa units, as well as the global customer accounts for Vodafone and Bharti. 
Mats holds a M.Sc. from the Royal Institute of Technology in Stockholm.
Follow Mats on Twitter: @MatsGranryd",Tech in SocietyFuture Services Provider
Max,Cuvellier,GSMA,"Head, Ecosystem Accelerator",,Innovation
Ronda,Zelezny-Green,GSMA,Policy & Regulation Training Delivery Director,"Ronda developed and directs the Capacity Building programme’s eLearning platform and leads all training activities for the programme, online and face-to-face. She has more than 13 years of teaching and training delivery experience, and has worked with learners across five continents, at all education levels, and in government. She has regional expertise in Sub-Saharan Africa and Southeast Asia, and subject matter expertise in public policy, gender, and educational technology. Ronda has a PhD in Information and Communication Technologies for Development from the University of London.",Innovation
Sebastián,Cabello,GSMA,Head of Latin America,,
Aruna,Srinivasan,GSMA Internet of Things,Executive Director for Industry Engagement ,"Aruna Srinivasan is the Executive Director for Industry Engagement for GSMA’s Internet of Things Programme.  Ms. Srinivasan leads the Smart Cities and IoT Big Data initiatives, working together with mobile operators and ecosystem partners to develop new technology enablers and drive market development and adoption in these areas.  Ms. Srinivasan has over 15 years of strategy, technology and programme delivery experience with GSMA, Third Horizon Consulting, Commonwealth Bank of Australia, Australia Gas Lighting and Arthur Andersen Consulting.  She holds Master of Commerce and Bachelor of Software Engineering degrees from the University of New South Wales, Australia.",
John,Hoffman,GSMA Ltd.,CEO,"John Hoffman is CEO and Director for GSMA Ltd., a wholly-owned subsidiary of the GSMA. In this role, John oversees various lines of business, including the GSMA’s portfolio of award-winning trade shows and conferences, its online, print and broadcast media properties, industry research services and a range of network managed services.",
Andrea,Sommer,Hiver,Founder & CEO,"Andrea Sommer is the founder & CEO of Hiver, an intelligent event technology company.
Andrea is passionate about technology, entrepreneurship, increasing the number of women represented in both, and also about building diverse teams – from entry-level to board-level. She has spoken at numerous conferences on technology, the mobile industry, entrepreneurship, raising start-up finance, being a female founder and women in technology.
Andrea was formerly Director of Strategic Initiatives Europe at Avanade, a joint venture between Accenture & Microsoft where she lead growth and optimisation activities for Europe. She also consulted for other technology brands including Microsoft in the US, South America and Europe.
Andrea has also been featured in press publications such as The Financial Times, Forbes as well as in the book The MBA Entrepreneur.
She holds a Bachelor's Degree from Reed College in Portland, US and an Executive MBA from London Business School.",Innovation
