Aramon Oil Power Plant France,France,Operating Fully,43.88007762,4.654769897,1400,Sub-critical Steam Turbine,Peaking Load,"Aramon, department of Gard, on river Rhone south of Avignon",National Grid,1977-00-00,Electricite de France (EdF),,,Bouygues,Electricite de France,,,http://energies.edf.com/edf-fr-accueil/la-production-d-electricite-edf/thermique/les-centrales-thermiques-a-flamme/aramon/presentation-120805.html
Lucciana Thermal Power Plant France,France,Please Select,42.52734148,9.449872971,131,Please Select,Please Select,"Lucciano near Bastia, Corsica, France",Please Select,,Electricite de France (EDF),,,,Electricite de France (EDF),,,http://sei.edf.fr/accueil/accueil/edf-en-corse-et-outre-mer/le-parc-de-production-et-reseaux/corse-1260369.html
"Martigues Combustion Oil Power Plant, France",France,Please Select,43.35757507,5.020494461,750,Please Select,Please Select,"Lavera, Bouches-du-Rhone",Please Select,1971-00-00,Electricite de France,,,,Electricite de France,,,http://energies.edf.com/edf-fr-accueil/la-production-d-electricite-edf/thermique/les-centrales-thermiques-a-flamme/martigues/presentation-122046.html
"Porcheville II Thermal Power Plant, France",France,Operating Fully,48.96917462,1.758842468,2400,Sub-critical Steam Turbine,Peaking Load and Backup,"Porcheville, on river Seine 50km west of Paris",National Grid,1968-07-00,Electricite de France (EdF),,,,Electricit� de France,,,http://energies.edf.com/edf-fr-accueil/la-production-d-electricite-edf/thermique/les-centrales-thermiques-a-flamme/porcheville/presentation-122047.html
Vazzio Thermal Power Plant France,France,Please Select,41.93208723,8.720440865,135.5,Please Select,Please Select,"Ajaccio, Corsica",Please Select,,,,,,Electricit� du France (EDF),,,http://sei.edf.fr/accueil/accueil/edf-en-corse-et-outre-mer/le-parc-de-production-et-reseaux/corse-1260369.htm
Ingolstadt Thermal Power Plant Germany,Germany,Operating Fully,48.7614,11.5032,840,Sub-critical Steam Turbine,Please Select,"Gro�mehring, Ingolstadt, Bavaria, Germany",National Grid,1973-00-00,E.ON Kraftwerke GmbH,100,,,E.ON Kraftwerke GmbH,,,http://www.eon.com/en/about-us/structure/asset-finder/ingolstadt.html
Aliveri Thermal Power Plant Greece,Greece,Operating Fully,38.3896,24.0524,380,Sub-critical Steam Turbine,Peaking Load,"Aliveri, Euboea, Greece",National Grid,1953-00-00,Public Power Corp (DEH),,Government,,Public Power Corp (DEH),,,http://www.dei.gr/Default.aspx?id=146&nt=123&lang=2
Atherinolakkos IC Power Plant Greece,Greece,Operating Fully,35.0038,26.1397,102,Oil Engine,Please Select,"Atherinolakkos, Lasithi, Crete, Greece",Regional Grid,2004-00-00,Public Power Corp (DEH),,,"BWSC, Mitsui, Athena",Public Power Corp (DEH),,,http://www.industcards.com/ic-greece.htm
Chania Power Plant Crete Greece,Greece,Operating Fully,35.488,24.0384,118,Gas Turbine,Please Select,,Regional Grid,1969-00-00,DEI Public Power Corporation,,,,DEI Public Power Corporation,,,Turbinetec
Chios Extension Power Plant Greece,Greece,Operating Fully,38.331,26.154,14.8,Oil Engine,Base Load,"Chios (Khios) Island, Greece",Regional Grid,2008-00-00,Public Power Corp (DEH),,Government,MAN B&W,Public Power Corp (DEH),,,http://www.industcards.com/ic-greece.htm
Linoperamata Power Plant Crete Greece,Greece,Operating Fully,35.34,25.0523,193,Gas Turbine,Base/Intermediate Load,"Linoperamata, Crete",Regional Grid,,DEI Public Power Corporation,,,,DEI Public Power Corporation,,,
Soroni Rodos Power Plant Greece,Greece,Operating Fully,36.37887,28.01857,84,Gas Turbine,Base/Intermediate Load,"Soroni, Rodos",Regional Grid,,DEI Public Power Corporation,,,Metka S.A.,DEI Public Power Corporation,,,
Alborada (Tampa) OCGT Power Plant Guatemala,Guatemala,Operating Fully,14.2506,-90.807,78,Gas Turbine,Peaking Load and Backup,"Alborada, Escuintla, Guatemala.",National Grid,1995-06-00,TECO Energy Florida USA,100,Private,,TECO Guatemala,,,http://www.tecoguatemala.com/powerstations/alborada/
Arizona ICE Power Plant Guatemala,Guatemala,Operating Fully,13.9599,-90.7989,163,Oil Engine,Please Select,"North of Puerto Quetzal, Escuintla, Guatemala.",National Grid,2003-05-00,Duke Energy International,91,Private,,Duke Energy International,,,http://www.duke-energy.com/news/releases/2002/Jan/2002010901.html
Escuintla Energy Center (Sidegua) ICE Power Plant Guatemala,Guatemala,Operating Fully,14.2346,-90.8167,40,Oil Engine,Please Select,"Escuintla, Guatemala",Please Select,1995-00-00,Aceros de Guatemala S.A.,,,Caterpillar,Siderugica de Guatemala (Sidegua),,,
Puerto Barrios (GENOR) ICE Power Plant,Guatemala,Operating Fully,15.6988,-88.5754,42,Oil Engine,Please Select,"Barrios, Izabal, Guatemala",National Grid,1998-10-00,Generadora Electrica del Norte Ltda (GENOR),,Market,,Generadora Electrica del Norte Ltda (GENOR),,,http://www.genorltd.com/generadora
Puerto Quetzal (PQP Barge) Oil Power Plant Guatemala,Guatemala,Operating Fully,13.9211,-90.7856,110,Oil Engine,Please Select,"Puerto Quetzal, Escuintla, Guatemala.",National Grid,1993-00-00,AEI Guatemala Limitada,100,Private,Unit II developed by Enron,Puerto Quetzal Power LLC (PQP),,,http://www.aeienergy.com/?id=218
Choloma I and II IC power Plant Honduras,Honduras,Operating Fully,15.5997,-87.9369,62.5,Oil Engine,Please Select,"Choloma, Cortes, Honduras",National Grid,1998-00-00,Grupo Terra,,IPP,,"Empresa de Mantenimiento, Construccion y Electricidad SA de CV (EMCE)",,,http://www.terra.hn/paginas_energia.php?orden_id=4&parent_id=25
Choloma III IC Power Plant Honduras,Honduras,Operating Fully,15.5966,-87.9376,283.5,Oil Engine,Please Select,"Choloma, Cortes, Honduras",National Grid,2004-03-31,"Energia Renovable, S. A. de C. V. (ENERSA)  (Grupo Terra)",,IPP,,"Energia Renovable, S. A. de C. V. (ENERSA)",,,http://www.terra.hn/paginas_energia.php?orden_id=3&parent_id=25
Elcosa IC Power Plant Honduras,Honduras,Operating Fully,15.8557,-87.9558,80,Oil Engine,Please Select,"Puerto Cortes, Cortes, Honduras",National Grid,1994-00-00,Wartsila Diesel Development Corp. (WDD),,IPP,"Stork-Wartsila Diesel B.V., Netherlands","Electricidad de Cortes, S.R.L. de C.V. (ELCOSA)",,IDB,http://cne.gob.hn/home/estadisticas-sub-sector-electrico/datos
Lufussa Pavana I II and III IC power Plant Honduras,Honduras,Operating Fully,13.40412,-87.32723,389,Oil Engine,Please Select,"Pavana, Choluteca, Honduras",National Grid,1995-00-00,Luz y Fuerza de San Lorenzo S.A. (Lufussa),100,IPP,,Luz y Fuerza de San Lorenzo S.A. (Lufussa),,,http://www.lufussa.com/our_projects.htm
Tsing Yi Gas Turbine Power Plant Hong Kong,Hong Kong,Operating Fully,22.3309,114.1008,140,Gas Turbine,Peaking Load,"Kwai Tsing, Hong Kong",Please Select,1980-00-00,China Light and Power Company (CLP),,,,China Light and Power Company (CLP),,,http://www.turbinetec.com/Download_GE_Layer.html
Brahmapuram Oil Power Plant India,India,Operating Fully,9.9975,76.3744,106,Oil Engine,Peaking Load,"Kochi, Kerala, India",Regional Grid,1997-05-06,Kerala State Electricity Board,100,Government State,,Kerala State Electricity Board,,,http://www.careers-india.com/2009/09/23/brahmapuram-diesel-power-project/
GMR Vasavi (Chennai) Diesel Power Plant India,India,Please Select,13.09829167,80.27016856,,Please Select,Please Select,,Please Select,1998-12-31,GMR Vasavi group,51,,,,,,http://www.tce.co.in/operations/power.htm
KPCL Kasaragod Oil Power Plant India,India,Operating Fully,12.48366968,74.99293779,21.93,Oil Engine,Please Select,"Kasaragod, Kerala, India",Regional Grid,2001-01-01,Kasargod Power Corporation Ltd (KPCL),,IPP,,Kasargod Power Corporation Ltd (KPCL),,,http://www.kseboard.com/  and  http://www.kseb.in/   (See Reports System Operations Book 2007-08 and kseb_annual_report_final.pdf)
Kozhikode (Nallalan) KDPP Oil Power Plant India,India,Operating Fully,11.2054,75.8067,128,Oil Engine,Please Select,"Kozhikode, Kerala, India",Regional Grid,1999-09-01,Kerala State Electricity Board,100,State Government,,Kerala State Electricity Board,,,http://www.kseboard.com/  and  http://www.kseb.in/   (See Reports System Operations Book 2007-08 and kseb_annual_report_final.pdf)
Samalpatti Oil Power Plant India,India,Operating Fully,12.2995,78.4038,105,Please Select,Please Select,"Samalpatti, (35 km West from Dharmapuri), Kunnathur, Tamil Nadu, India",Regional Grid,2001-02-03,The Shapoorji Pallonji group,33,IPP,"Wartsila, India",Samalpatti Power Co Pvt Ltd,,,http://www.hinduonnet.com/businessline/2000/12/30/stories/143056u3.htm  and http://industrymonitor.in/powerbase/thermal/samalpatti-power-company/
Samayanallur Oil Power Plant India,India,Operating Fully,9.9751,78.0445,106,Oil Engine,Peaking Load,"Samayanallur near Madurai, Tamil Nadu, India",Regional Grid,2001-09-22,"Ogden Energy US (76%), Balaji Group",24,IPP,Wartsalia,Balaji Power Corp. Ltd.,,,http://siadipp.nic.in/sectors/mop.htm
Whitefield Ind. Park Oil PP,India,Please Select,14.61002648,75.65117577,158,Please Select,Please Select,"Bangalore, Karnataka, India",Please Select,,Scintilla Power Co.,,Central Government,,,,,sources of information and References
Yelahanka Oil Power Plant India,India,Operating Fully,13.1156,77.5838,128,Please Select,Please Select,"Singanayakanahally Yelahanka, Bangalore, Karnataka - 560064, India",Regional Grid,,Karnataka State Electricity Board,100,State Government,,Karnataka Power Corporation Ltd,,,http://www.karnatakapower.com/projects.asp
Gresik Thermal Power Plant Indonesia,Indonesia,Operating Fully,-7.1656,112.6621,600,Sub-critical Steam Turbine,Please Select,"Gresik, Jawa Timur, Indonesia",Regional Grid,1986-00-00,PT PLN (Persero),,Public Company,,PT PLN (Persero),,,http://www.id.emb-japan.go.jp/oda/en/projects/grant/odaprojects_grant_2004_jateng.htm
Tambak Lorok (Semarang) Thermal Power Plant Indonesia,Indonesia,Operating Partially,-6.9507,110.4304,300,Sub-critical Steam Turbine,Please Select,"Semarang, Central Java, Indonesia",Regional Grid,1970-09-25,PT PLN (Persero),100,Government,,PT Indonesia Power GBU Semarang,,,http://www.indonesiapower.co.id/leaflet/semarang.pdf
Great Island Thermal Power Station Ireland,Ireland,Operating Fully,52.2793,-6.9935,240,Sub-critical Steam Turbine,Intermediate Load,"Great Island, Wexford, Ireland",National Grid,1968-10-00,SSE plc (originally Scottish and Southern Energy),100,IPP,,SSE plc (originally Scottish and Southern Energy),,,http://www.sse.com/Ireland/EnergyGeneration/KeyProjects/
Tarbert Thermal Power Station Ireland,Ireland,Operating Fully,52.5893,-9.3632,620,Sub-critical Steam Turbine,Intermediate Load,"Tarbert Port, County Kerry, Ireland",National Grid,1969-04-00,SSE plc (originally Scottish and Southern Energy),100,IPP,,SSE plc (originally Scottish and Southern Energy),,,http://www.sse.com/Ireland/EnergyGeneration/KeyProjects/
Ahwaz (Ramin) Thermal Power Plant Iran,Islamic Republic of Iran,Operating Fully,31.5027,48.883,1890,Sub-critical Steam Turbine,Please Select,"Ahwaz, Kuzestan, Iran",National Grid,1980-00-00,Ministry of Energy,100,Government,,Ahwaz Generation Management,,,http://www.tavanir.org.ir/info/stat87/sanatlhtml/s18.htm
Bandar Abbas Thermal Power Plant Iran,Islamic Republic of Iran,Operating Fully,27.1467,56.1153,1280,Sub-critical Steam Turbine,Please Select,"Dogerdan, Hormozgan, Iran",National Grid,1980-00-00,Ministry of Energy,100,Government,,Hormozgan Generation Management,,,http://www.tavanir.org.ir/info/stat87/sanatlhtml/s18.htm
Besat Thermal Power Plant Iran,Islamic Republic of Iran,Operating Fully,35.6423,51.4273,247.5,Sub-critical Steam Turbine,Please Select,"Tehran, Iran",National Grid,1967-00-00,Ministry of Energy,100,Government,,Besat Generation Management,,,http://www.tavanir.org.ir/info/stat87/sanatlhtml/s18.htm
Bistoon Thermal Power Plant Iran,Islamic Republic of Iran,Operating Fully,34.3468,47.3575,640,Sub-critical Steam Turbine,Please Select,"Shahrak-e-Bistoon, Kermanshah, Iran",National Grid,1995-00-00,Ministry of Energy,100,Government,"Ghods Niroo, Ansaldo",Bistoon Generation Management,,,http://www.tavanir.org.ir/info/stat87/sanatlhtml/s18.htm
Iranshahr Thermal Power Plant,Islamic Republic of Iran,Operating Fully,27.224,60.493,256,Sub-critical Steam Turbine,Please Select,"25 km West if Iranshahr, Sistan and Baluchistan, Iran",National Grid,1995-00-00,Ministry of Energy,100,Government,,Sistan and Baluchistan Power Plant Generation Management,,,http://www.tavanir.org.ir/info/stat87/sanatlhtml/s18.htm
Sahand Thermal Power Plant Iran,Islamic Republic of Iran,Operating Fully,37.424,46.013,650,Sub-critical Steam Turbine,Please Select,"West of Marageh, East Azarbaijan, Iran",National Grid,2004-00-00,Ministry of Energy,100,Government,Mapna,Sahand Generation Management,,,http://www.tavanir.org.ir/info/stat87/sanatlhtml/s18.htm
Shahid Mofateh Thermal Power Plant iran,Islamic Republic of Iran,Operating Fully,35.128,48.852,1000,Sub-critical Steam Turbine,Please Select,"47 km NE of Hamadan past Veyan, Hamadan, Iran",National Grid,1995-00-00,Ministry of Energy,100,Government,,Shahid Mofateh Generation Management,,,http://www.tavanir.org.ir/info/stat87/sanatlhtml/s18.htm
Shahid Mohammed Montazeri Thermal Power Plant,Islamic Republic of Iran,Operating Fully,32.796,51.495,1600,Sub-critical Steam Turbine,Please Select,"NW of Esfahan, Esfahan, Iran",National Grid,1985-00-00,Ministry of Energy,100,Government,,Shahid Mohammed Montazeri Generation Management,,,http://www.tavanir.org.ir/info/stat87/sanatlhtml/s18.htm
Shahid Montazare Ghaem Thermal Power Plant Iran,Islamic Republic of Iran,Operating Fully,35.73,51,625.88,Sub-critical Steam Turbine,Please Select,"Near Karaj, Tehran, Iran",National Grid,1971-00-00,Ministry of Energy,100,Government,,Shahid Montazare Ghaem Generation management,,,http://www.tavanir.org.ir/info/stat87/sanatlhtml/s18.htm
Shahid Salimi (Neka) Power Plant Iran,Islamic Republic of Iran,Operating Fully,36.8387,53.2593,1760,Sub-critical Steam Turbine,Please Select,"Nowzarabad, Mazandaran, Iran",Please Select,1979-00-00,Ministry of Energy,,Government,,Neka Power Generation Management Co,,,http://www.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm
Shazand (Arak) Thermal Power Plant Iran,Islamic Republic of Iran,Operating Fully,34,49.5,1300,Sub-critical Steam Turbine,Please Select,"NE of Shazand, Markazi, Iran",National Grid,2000-00-00,Ministry of Energy,100,Government,"Ghods Niroo, Mapna, Southwest Electric Power Design Institute",Shazand Generation Management,,,http://www.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm
Eilat Thermal Power Plant Israel,Israel,Please Select,29.56162452,34.91740465,100,Please Select,Please Select,"Eilat, HaDarom, Israel",Please Select,1980-00-00,Israel Electric Corporation,,Government,,Israel Electric Corporation,,,http://www.iec.co.il/bin/ibp.jsp?ibpDispWhat=zone
Eshkol Thermal Power Plant Israel,Israel,Please Select,31.84183679,34.65639353,1062,Please Select,Please Select,"Mouth of Lahish River, Near southern Ashdod town, Israel",Please Select,1977-00-00,Israel Electric Corporation,,Government,,Israel Electric Corporation,,,http://www.israel-electric.co.il/bin/ibp.jsp?ibpDispWhat=zone
Haifa Thermal Power Plant Israel,Israel,Please Select,32.81176836,35.02324462,426,Please Select,Please Select,"Shemen Beach, Haifa, Israel",Please Select,1961-00-00,Israel Electric Corporation,,Government,,Israel Electric Corporation,,,http://www.israel-electric.co.il/bin/ibp.jsp?ibpDispWhat=zone
Kinorot Thermal Power Plant Israel,Israel,Please Select,32.80149729,35.53331494,80,Please Select,Please Select,"North of Tiberias, on Sea of Gallee, Israel",Please Select,1975-00-00,Israel Electric Corporation,,Government,,Israel Electric Corporation,,,http://www.iec.co.il/bin/ibp.jsp?ibpDispWhat=zone
Reading Thermal Power Plant Israel,Israel,Please Select,32.10491595,34.7785306,428,Please Select,Please Select,"North of Tel Aviv, Mediterranean Coast, Israel",Please Select,1970-00-00,Israel Electric Corporation,,Government,,Israel Electric Corporation,,,http://www.israel-electric.co.il/bin/ibp.jsp?ibpDispWhat=zone
ENEL Piombino Thermal Power Plant Italy,Italy,Operating Partially,42.9565,10.6034,1280,Sub-critical Steam Turbine,Peaking Load and Backup,"Piombino, Livorno, Tuscanny, Italy",National Grid,,Enel Power SpA,,,,Enel Power SpA,,,http://www.industcards.com/st-other-italy.htm
ENEL Porto Tolle Thermal Power Plant Italy,Italy,Operating Fully,44.9569,12.4883,2640,Sub-critical Steam Turbine,Please Select,"Porto Tolle, Rovigo, Veneto, Italy",National Grid,1980-10-09,Enel Power SpA,,,,Enel Power SpA,,,http://www.enel.it/it-IT/impianti/mappa/dettaglio/porto-tolle-ro-/p/090027d98192fa94
ENIPOWER S.P.A. Stabil. di Brindisi Italy,Italy,Please Select,40.62927844,18.00328732,1321,Please Select,Please Select,"Brindisi, Italy",Please Select,,ENIPower S.P.A. Italy,,,,ENIPower S.P.A. Italy,,,http://www.enipower.eni.it/it/pages/dove-operiamo/brindisi/brindisi.shtml
Edipower San Filippo del Mela Thermal Power Plant Italy,Italy,Operating Fully,38.2049,15.2818,1280,Sub-critical Steam Turbine,Intermediate Load,"San Filippo del Mela, Messina, Italy",Regional Grid,1971-00-00,Edison,50,,,EdiPower,,,http://www.edipower.it/centrale_di_sanfilippo.htm
Enel Marzocco Oil Power Plant Italy,Italy,Operating Partially,43.56727,10.31,310,Sub-critical Steam Turbine,Peaking Load and Backup,"Livorno, Livorno, Tuscanny, Italy",National Grid,1963-00-00,Enel Power SpA,,,,Enel Power SpA,,,http://www.enel.it/it-IT/impianti/mappa/dettaglio/livorno/p/090027d98192fa32
Ottana Oil CHP Power Plant,Italy,Operating Partially,40.2387,9.0176,140,Cogeneration Power and Heat Steam Turbine,Please Select,"Ottana, Sardegna, Nuoro, Sardinia, Italy",Regional Grid,1974-00-00,AES Corp (acquired from EniChema SPA in March 2001),,,,Ottana Energia SpA,,,http://www.industcards.com/st-other-italy.htm
Aioi Thermal Power Plant Japan,Japan,Operating Fully,34.7742,134.4568,1125,Sub-critical Steam Turbine,Please Select,"Aioi Aioi character Yanagiyama, Hyogo, Japan",Regional Grid,1982-09-00,Kansai Electric Power Company,100,Private,,Kansai Electric Power Company,,,http://www.kepco.co.jp/corporate/energy/thermal_power/plant/aioi.html
