Word,Definition
bind,"If you bind something put rope or string around it, often many times."
binge,"binge (plural binges)
A short period of excessive consumption, especially of excessive alcohol consumption.
(eating disorder) A rapid and excessive consumption of food."
biology,Biology is a type of science that studies living things like plants and animals.
bird,"A bird is a warm-blooded animal that has feathers and wings and lays eggs. Most birds can fly.

Synonym: birdy"
birthday,The day you were born.
biscuit,A biscuit is a cookie.
bit,"A bit is an amount, usually a small amount."
bite,"If a person or animal bites something, they put it between their teeth and squeeze."
bites,The plural form of bite; more than one bite.
bits,The plural form of bit; more than one bit.
blab,"blab (third-person singular simple present blabs, present participle blabbing, simple past and past participle blabbed)
(transitive, intransitive) To tell tales; to gossip without reserve or discretion.TennysonAnd yonder a vile physician blabbing / The case of his patient.
TennysonAnd yonder a vile physician blabbing / The case of his patient."
black,The darkest color; with no light; the color of the sky at night.
blade,"A blade is something with a long, sharp edge. Things like knives, swords and razors have blades."
blades,The plural form of blade; more than one blade.
Blake,
blame,"If you blame someone or something for something bad, you say or think that they are the reason for or cause of it."
blanch,"blanch (third-person singular simple present blanches, present participle blanching, simple past and past participle blanched)
(intransitive) To grow or become whiteHis cheek blanched with fear.The rose blanches in the sun.
(transitive) To take the color out of, and make white; to bleachto blanch linenAge has blanched his hair.
(transitive, cooking) To cook by dipping briefly into boiling water, then directly into cold water.
(transitive) To whiten, for example the surface of meat, by plunging into boiling water and afterwards into cold, so as to harden the surface and retain the juices
(transitive) To bleach by excluding the light, for example the stalks or leaves of plants, by earthing them up or tying them together
(transitive) To make white by removing the skin of, for example by scaldingto blanch almonds
(transitive) To give a white lustre to (silver, before stamping, in the process of coining)
(tntransitive) To cover (sheet iron) with a coating of tin.
(transitive, figuratively) To give a favorable appearance to; to whitewash; to whiten;Synonyms: palliate17th century, John Tillotson, The indispensable necessity of the knowledge of the Holy ScriptureBlanch over the blackest and most absurd things.
17th century, John Tillotson, The indispensable necessity of the knowledge of the Holy ScriptureBlanch over the blackest and most absurd things."
bland,"bland (third-person singular simple present blands, present participle blanding, simple past and past participle blanded)
(transitive, Britain  dialectal) To mix; blend; mingle.
(transitive, Britain  dialectal) To connect; associate."
blank,"If a piece of paper or something else is blank, it has nothing written on it."
blarney,"blarney (uncountable)
Mindless chatter.He is full of blarney.
Ability to talk constantly.
Persuasive flattery or kind speech; smooth, wheedling talk; flattery."
blast,A blast is when something blows up or explodes.
blaze,A blaze is a fire that makes a lot of flames and light.
bleach,Bleaching something means to make it become white or even colorless.
bleak,"bleak (comparative bleaker, superlative bleakest)
Without color; pale; pallid.FoxeWhen she came out she looked as pale and as bleak as one that were laid out dead.
FoxeWhen she came out she looked as pale and as bleak as one that were laid out dead.
Desolate and exposed; swept by cold winds.WordsworthWastes too bleak to rear / The common growth of earth, the foodful ear.Longfellowat daybreak, on the bleak sea beachA bleak and bare rock.They escaped across the bleak landscape.A bleak, crater-pocked moonscape.We hiked across open meadows and climbed bleak mountains.
WordsworthWastes too bleak to rear / The common growth of earth, the foodful ear.
Longfellowat daybreak, on the bleak sea beach
Unhappy; cheerless; miserable; emotionally desolate.Downtown Albany felt bleak that February after the divorce.A bleak future is in store for you.The news is bleak.The survey paints a bleak picture."
bleat,"A bleat is the sound a sheep or a goat makes.

Synonyms: baa, baaing and bleating"
bleed,"If you bleed, you lose blood from your body."
blemish,"b'blemish (plural blemishes)\nA small flaw which spoils the appearance of something, a stain, a spot.1769, Oxford Standard Text, King James Bible, Leviticus, 22, xix,Ye shall offer at your own will a male without blemish, of the beeves, of the sheep, or of the goats.1997, Jean Soler, 5: The Semiotics of Food in the Bible, Carole Counihan, Penny Van Esterik (editors), Food and Culture: A Reader, page 61,Any foot shape deviating from this model is conceived as a blemish, and the animal is unclean.2003, A. K. Forrest, Chapter 6: Surface Defect Detection on Ceramics, Mark Graves, Bruce Batchelor (editors), Machine Vision for the Inspection of Natural Products, page 193,There are a very large number of types of blemish and the smallest blemish visible to a human can be surprisingly small, for example less than 10\xce\xbcm deep, which may be on the surface of a heavily embossed tile.2011,  Robert Jones,  Makeup Makeovers Beauty Bible: Expert Secrets for Stunning Transformations\xe2\x80\x8e[1], page 119:It comes as a surprise to some people, but blemishes can strike at any age. To minimize the appearance of facial blemishes or pimples, use a concealer with a dry texture; it will cling to the blemish better, last throughout the day, and not irritate the skin or initiate more breakouts.\n1769, Oxford Standard Text, King James Bible, Leviticus, 22, xix,Ye shall offer at your own will a male without blemish, of the beeves, of the sheep, or of the goats.\n1997, Jean Soler, 5: The Semiotics of Food in the Bible, Carole Counihan, Penny Van Esterik (editors), Food and Culture: A Reader, page 61,Any foot shape deviating from this model is conceived as a blemish, and the animal is unclean.\n2003, A. K. Forrest, Chapter 6: Surface Defect Detection on Ceramics, Mark Graves, Bruce Batchelor (editors), Machine Vision for the Inspection of Natural Products, page 193,There are a very large number of types of blemish and the smallest blemish visible to a human can be surprisingly small, for example less than 10\xce\xbcm deep, which may be on the surface of a heavily embossed tile.\n2011,  Robert Jones,  Makeup Makeovers Beauty Bible: Expert Secrets for Stunning Transformations\xe2\x80\x8e[1], page 119:It comes as a surprise to some people, but blemishes can strike at any age. To minimize the appearance of facial blemishes or pimples, use a concealer with a dry texture; it will cling to the blemish better, last throughout the day, and not irritate the skin or initiate more breakouts.\nA moral defect; a character flaw.1825,  A Sermon,  The Christian Magazine\xe2\x80\x8e[2], volume 2, page 298:As piety is the peculiar ornament of old people, so the want of it is a peculiar blemish in their character.2003,  Todd F. Heatherton,  The Social Psychology of Stigma\xe2\x80\x8e[3], page 103:The processes of categorization, stereotyping, discrimination, and self-fulfilling prophecy can also apply to stigmas based on blemishes of individual character.2008,  Annette Baier,  Death and Character: Further Reflections on Hume\xe2\x80\x8e[4], page 46:There is no reason to think that the enlivening possible blemish was his hypocritical show of repentance, since there are so many other candidate blemishes to choose among.\n1825,  A Sermon,  The Christian Magazine\xe2\x80\x8e[2], volume 2, page 298:As piety is the peculiar ornament of old people, so the want of it is a peculiar blemish in their character.\n2003,  Todd F. Heatherton,  The Social Psychology of Stigma\xe2\x80\x8e[3], page 103:The processes of categorization, stereotyping, discrimination, and self-fulfilling prophecy can also apply to stigmas based on blemishes of individual character.\n2008,  Annette Baier,  Death and Character: Further Reflections on Hume\xe2\x80\x8e[4], page 46:There is no reason to think that the enlivening possible blemish was his hypocritical show of repentance, since there are so many other candidate blemishes to choose among.'"
